Season,no_of_overtakes,name
1984,61,#REF!
1985,83,#REF!
1986,50,#REF!
1987,53,#REF!
1988,54,#REF!
1989,22,#REF!
1990,57,Canadian Grand Prix
1990,44,USA Grand Prix
1990,42,Brazilian Grand Prix
1990,33,San Marino Grand Prix
1990,11,Monaco Grand Prix
1990,60,Canadian Grand Prix
1990,73,Mexican Grand Prix
1990,36,French Grand Prix
1990,49,Great Britain Grand Prix
1984,60,#REF!
1984,788,#REF!
1985,63,#REF!
1985,59,#REF!
1985,49,#REF!
1985,22,#REF!
1985,48,#REF!
1985,46,#REF!
1985,47,#REF!
1985,52,#REF!
1985,31,#REF!
1985,32,#REF!
1985,62,#REF!
1985,40,#REF!
1985,65,#REF!
1985,64,#REF!
1985,15,#REF!
1985,47,#REF!
1985,742,#REF!
1986,53,16.98
1986,22,31.82
1986,34,17.65
1986,21,33.33
1986,33,15.15
1986,34,38.24
1986,59,20.34
1986,35,31.43
1986,23,13.04
1986,65,9.23
1986,51,9.80
1986,15,6.67
1986,58,18.97
1986,29,6.90
1986,62,9.68
1986,64,4.69
1986,658,16.26
1987,48,27.08
1987,52,21.15
1987,19,26.32
1987,16,6.25
1987,43,6.98
1987,44,9.09
1987,22,18.18
1987,31,19.35
1987,29,10.34
1987,72,12.50
1987,27,22.22
1987,24,20.83
1987,42,28.57
1987,24,20.83
1987,45,13.33
1987,54,7.41
1987,592,16.39
1988,46,19.57
1988,41,34.15
1988,11,0.00
1988,35,8.57
1988,22,22.73
1988,36,22.22
1988,36,27.78
1988,40,25.00
1988,29,13.79
1988,27,37.04
1988,30,16.67
1988,32,21.88
1988,19,15.79
1988,30,33.33
1988,62,6.45
1988,35,17.14
1988,531,20.34
1989,31,22.58
1989,5,0.00
1989,20,20.00
1989,47,10.64
1989,28,17.86
1989,58,18.97
1989,38,13.16
1989,40,12.50
1989,27,14.81
1989,35,25.71
1989,20,0.00
1989,28,32.14
1989,71,14.08
1989,29,24.14
1989,44,9.09
1989,46,6.52
1989,567,15.52
1990,20,German Grand Prix
1990,39,Hungarian Grand Prix
1990,31,Belgium Grand Prix
1990,17,Italian Grand Prix
1990,31,Portuguese Grand Prix
1990,18,Spanish Grand Prix
1990,11,Japanese Grand Prix
1990,29,Australian Grand Prix
1991,41,Detroit Grand Prix
1991,27,USA Grand Prix
1991,26,Brazilian Grand Prix
1991,40,San Marino Grand Prix
1991,9,Monaco Grand Prix
1991,33,Canadian Grand Prix
1991,54,Mexican Grand Prix
1991,41,French Grand Prix
1990,544,
1991,43,Great Britain Grand Prix
1991,29,German Grand Prix
1991,33,Hungarian Grand Prix
1991,35,Belgium Grand Prix
1991,29,Italian Grand Prix
1991,25,Portuguese Grand Prix
1991,65,Spanish Grand Prix
1991,6,Japanese Grand Prix
1991,23,Australian Grand Prix
1992,45,Dallas Grand Prix
1992,22,South Africa Grand Prix
1992,43,Mexican Grand Prix
1992,20,Brazilian Grand Prix
1992,41,Spanish Grand Prix
1992,22,San Marino Grand Prix
1992,7,Monaco Grand Prix
1991,518,
1992,17,Canadian Grand Prix
1992,4,French Grand Prix
1992,29,Great Britain Grand Prix
1992,20,German Grand Prix
1992,27,Hungarian Grand Prix
1992,63,Belgium Grand Prix
1992,43,Italian Grand Prix
1992,31,Portuguese Grand Prix
1992,18,Japanese Grand Prix
1992,19,Australian Grand Prix
1993,16,Great Britain Grand Prix
1993,10,South Africa Grand Prix
1993,28,Brazilian Grand Prix
1993,31,European Grand Prix
1993,22,San Marino Grand Prix
1993,18,Spanish Grand Prix
1992,426,
1993,31,Monaco Grand Prix
1993,11,Canadian Grand Prix
1993,24,French Grand Prix
1993,26,Great Britain Grand Prix
1993,51,German Grand Prix
1993,39,Hungarian Grand Prix
1993,42,Belgium Grand Prix
1993,30,Italian Grand Prix
1993,29,Portuguese Grand Prix
1993,28,Japanese Grand Prix
1993,14,Australian Grand Prix
1994,50,German Grand Prix
1994,20,Brazilian Grand Prix
1994,16,Pacific Grand Prix
1994,0,San Marino Grand Prix
1994,9,Monaco Grand Prix
1993,434,
1994,14,Spanish Grand Prix
1994,28,Canadian Grand Prix
1994,15,French Grand Prix
1994,36,Great Britain Grand Prix
1994,12,German Grand Prix
1994,5,Hungarian Grand Prix
1994,36,Belgium Grand Prix
1994,31,Italian Grand Prix
1994,27,Portuguese Grand Prix
1994,15,European Grand Prix
1994,3,Japanese Grand Prix
1994,20,Australian Grand Prix
1995,44,Austria Grand Prix
1995,22,Brazilian Grand Prix
1995,27,Argentine Grand Prix
1995,44,San Marino Grand Prix
1994,379,
1995,19,Spanish Grand Prix
1995,9,Monaco Grand Prix
1995,9,Canadian Grand Prix
1995,9,French Grand Prix
1995,18,Great Britain Grand Prix
1995,22,German Grand Prix
1995,5,Hungarian Grand Prix
1995,26,Belgium Grand Prix
1995,22,Italian Grand Prix
1995,16,Portuguese Grand Prix
1995,47,European Grand Prix
1995,15,Pacific Grand Prix
1995,31,Japanese Grand Prix
1995,4,Australian Grand Prix
1996,50,Dutch Grand Prix
1996,9,Australian Grand Prix
1996,39,Brazilian Grand Prix
1995,350,
1996,23,Argentine Grand Prix
1996,23,European Grand Prix
1996,5,San Marino Grand Prix
1996,6,Monaco Grand Prix
1996,6,Spanish Grand Prix
1996,15,Canadian Grand Prix
1996,9,French Grand Prix
1996,10,Great Britain Grand Prix
1996,11,German Grand Prix
1996,4,Hungarian Grand Prix
1996,21,Belgium Grand Prix
1996,12,Italian Grand Prix
1996,4,Portuguese Grand Prix
1996,15,Japanese Grand Prix
1997,51,Italian Grand Prix
1997,4,Australian Grand Prix
1996,219,
1997,33,Brazilian Grand Prix
1997,36,Argentine Grand Prix
1997,5,San Marino Grand Prix
1997,31,Monaco Grand Prix
1997,25,Spanish Grand Prix
1997,23,Canadian Grand Prix
1997,8,French Grand Prix
1997,14,Great Britain Grand Prix
1997,16,German Grand Prix
1997,26,Hungarian Grand Prix
1997,58,Belgium Grand Prix
1997,5,Italian Grand Prix
1997,18,Austria Grand Prix
1997,10,Luxembourg Grand Prix
1997,11,Japanese Grand Prix
1997,11,European Grand Prix
1998,44,European Grand Prix
1997,374,
1998,5,Australian Grand Prix
1998,15,Brazilian Grand Prix
1998,14,Argentine Grand Prix
1998,7,San Marino Grand Prix
1998,11,Spanish Grand Prix
1998,2,Monaco Grand Prix
1998,10,Canadian Grand Prix
1998,17,French Grand Prix
1998,34,Great Britain Grand Prix
1998,26,Austria Grand Prix
1998,12,German Grand Prix
1998,10,Hungarian Grand Prix
1998,9,Belgium Grand Prix
1998,21,Italian Grand Prix
1998,6,Luxembourg Grand Prix
1998,18,Japanese Grand Prix
1998,217,
1999,46,Australian Grand Prix
1999,34,Brazilian Grand Prix
1999,7,San Marino Grand Prix
1999,5,Monaco Grand Prix
1999,5,Spanish Grand Prix
1999,15,Canadian Grand Prix
1999,42,French Grand Prix
1999,13,Great Britain Grand Prix
1999,30,Austria Grand Prix
1999,18,German Grand Prix
1999,4,Hungarian Grand Prix
1999,18,Belgium Grand Prix
1999,17,Italian Grand Prix
1999,29,European Grand Prix
1999,11,Malaysian Grand Prix
1999,4,Japanese Grand Prix
1999,298,
2000,11,Australian Grand Prix
2000,22,Brazilian Grand Prix
2000,1,San Marino Grand Prix
2000,10,Great Britain Grand Prix
2000,8,Spanish Grand Prix
2000,37,European Grand Prix
2000,1,Monaco Grand Prix
2000,19,Canadian Grand Prix
2000,19,French Grand Prix
2000,28,Austria Grand Prix
2000,49,German Grand Prix
2000,11,Hungarian Grand Prix
2000,28,Belgium Grand Prix
2000,20,Italian Grand Prix
2000,48,USA Grand Prix
2000,8,Japanese Grand Prix
2000,30,Malaysian Grand Prix
2000,350,
2001,20,Australian Grand Prix
2001,56,Malaysian Grand Prix
2001,31,Brazilian Grand Prix
2001,8,San Marino Grand Prix
2001,10,Spanish Grand Prix
2001,18,Austria Grand Prix
2001,7,Monaco Grand Prix
2001,12,Canadian Grand Prix
2001,7,European Grand Prix
2001,8,French Grand Prix
2001,8,Great Britain Grand Prix
2001,14,German Grand Prix
2001,3,Hungarian Grand Prix
2001,12,Belgium Grand Prix
2001,28,Italian Grand Prix
2001,17,USA Grand Prix
2001,18,Japanese Grand Prix
2001,277,
2002,16,Australian Grand Prix
2002,27,Malaysian Grand Prix
2002,31,Brazilian Grand Prix
2002,6,San Marino Grand Prix
2002,3,Spanish Grand Prix
2002,20,Austria Grand Prix
2002,10,Monaco Grand Prix
2002,17,Canadian Grand Prix
2002,25,European Grand Prix
2002,48,Great Britain Grand Prix
2002,2,French Grand Prix
2002,24,German Grand Prix
2002,3,Hungarian Grand Prix
2002,6,Belgium Grand Prix
2002,16,Italian Grand Prix
2002,19,USA Grand Prix
2002,1,Japanese Grand Prix
2002,274,
2003,49,Australian Grand Prix
2003,21,Malaysian Grand Prix
2003,52,Brazilian Grand Prix
2003,3,San Marino Grand Prix
2003,22,Spanish Grand Prix
2003,14,Austria Grand Prix
2003,0,Monaco Grand Prix
2003,9,Canadian Grand Prix
2003,9,European Grand Prix
2003,10,French Grand Prix
